,Country,Happiness.Rank,Happiness.Score
0,Norway,1,7.537000179290769
1,Denmark,2,7.52199983596802
2,Iceland,3,7.50400018692017
3,Switzerland,4,7.49399995803833
4,Finland,5,7.468999862670901
5,Netherlands,6,7.3769998550415
6,Canada,7,7.31599998474121
7,New Zealand,8,7.31400012969971
8,Sweden,9,7.28399991989136
9,Australia,10,7.28399991989136
10,Israel,11,7.212999820709231
11,Costa Rica,12,7.0789999961853
12,Austria,13,7.00600004196167
13,United States,14,6.993000030517581
14,Ireland,15,6.9770002365112305
15,Germany,16,6.9510002136230495
16,Belgium,17,6.89099979400635
17,Luxembourg,18,6.86299991607666
18,United Kingdom,19,6.71400022506714
19,Chile,20,6.65199995040894
20,United Arab Emirates,21,6.6479997634887695
21,Brazil,22,6.6350002288818395
22,Czech Republic,23,6.60900020599365
23,Argentina,24,6.59899997711182
24,Mexico,25,6.57800006866455
25,Singapore,26,6.57200002670288
26,Malta,27,6.52699995040894
27,Uruguay,28,6.4539999961853
28,Guatemala,29,6.4539999961853
29,Panama,30,6.4520001411438
30,France,31,6.44199991226196
31,Thailand,32,6.4239997863769505
32,Taiwan Province of China,33,6.42199993133545
33,Spain,34,6.40299987792969
34,Qatar,35,6.375
35,Colombia,36,6.35699987411499
36,Saudi Arabia,37,6.343999862670901
37,Trinidad and Tobago,38,6.1680002212524405
38,Kuwait,39,6.10500001907349
39,Slovakia,40,6.09800004959106
40,Bahrain,41,6.08699989318848
41,Malaysia,42,6.08400011062622
42,Nicaragua,43,6.07100009918213
43,Ecuador,44,6.00799989700317
44,El Salvador,45,6.002999782562259
45,Poland,46,5.97300004959106
46,Uzbekistan,47,5.97100019454956
47,Italy,48,5.96400022506714
48,Russia,49,5.962999820709231
49,Belize,50,5.955999851226809
50,Japan,51,5.92000007629395
51,Lithuania,52,5.90199995040894
52,Algeria,53,5.872000217437741
53,Latvia,54,5.849999904632571
54,South Korea,55,5.837999820709231
55,Moldova,56,5.837999820709231
56,Romania,57,5.824999809265139
57,Bolivia,58,5.82299995422363
58,Turkmenistan,59,5.82200002670288
59,Kazakhstan,60,5.8189997673034695
60,North Cyprus,61,5.80999994277954
61,Slovenia,62,5.75799989700317
62,Peru,63,5.71500015258789
63,Mauritius,64,5.62900018692017
64,Cyprus,65,5.62099981307983
65,Estonia,66,5.61100006103516
66,Belarus,67,5.5689997673034695
67,Libya,68,5.525000095367429
68,Turkey,69,5.5
69,Paraguay,70,5.493000030517581
70,"Hong Kong S.A.R., China",71,5.47200012207031
71,Philippines,72,5.42999982833862
72,Serbia,73,5.39499998092651
73,Jordan,74,5.33599996566772
74,Hungary,75,5.32399988174438
75,Jamaica,76,5.31099987030029
76,Croatia,77,5.2930002212524405
77,Kosovo,78,5.27899980545044
78,China,79,5.2729997634887695
79,Pakistan,80,5.26900005340576
80,Indonesia,81,5.26200008392334
81,Venezuela,82,5.25
82,Montenegro,83,5.23699998855591
83,Morocco,84,5.2350001335144
84,Azerbaijan,85,5.234000205993651
85,Dominican Republic,86,5.230000019073491
86,Greece,87,5.2270002365112305
87,Lebanon,88,5.22499990463257
88,Portugal,89,5.19500017166138
89,Bosnia and Herzegovina,90,5.18200016021729
90,Honduras,91,5.1810002326965305
91,Macedonia,92,5.175000190734861
92,Somalia,93,5.151000022888179
93,Vietnam,94,5.07399988174438
94,Nigeria,95,5.07399988174438
95,Tajikistan,96,5.04099988937378
96,Bhutan,97,5.01100015640259
97,Kyrgyzstan,98,5.0040001869201705
98,Nepal,99,4.961999893188481
99,Mongolia,100,4.95499992370605
100,South Africa,101,4.8289999961853
101,Tunisia,102,4.80499982833862
102,Palestinian Territories,103,4.77500009536743
103,Egypt,104,4.7350001335144
104,Bulgaria,105,4.71400022506714
105,Sierra Leone,106,4.70900011062622
106,Cameroon,107,4.69500017166138
107,Iran,108,4.69199991226196
108,Albania,109,4.64400005340576
109,Bangladesh,110,4.60799980163574
110,Namibia,111,4.57399988174438
111,Kenya,112,4.55299997329712
112,Mozambique,113,4.550000190734861
113,Myanmar,114,4.54500007629395
114,Senegal,115,4.53499984741211
115,Zambia,116,4.513999938964839
116,Iraq,117,4.49700021743774
117,Gabon,118,4.46500015258789
118,Ethiopia,119,4.46000003814697
119,Sri Lanka,120,4.44000005722046
120,Armenia,121,4.37599992752075
121,India,122,4.31500005722046
122,Mauritania,123,4.29199981689453
123,Congo (Brazzaville),124,4.29099988937378
124,Georgia,125,4.28599977493286
125,Congo (Kinshasa),126,4.2800002098083505
126,Mali,127,4.19000005722046
127,Ivory Coast,128,4.17999982833862
128,Cambodia,129,4.1680002212524405
129,Sudan,130,4.138999938964839
130,Ghana,131,4.11999988555908
131,Ukraine,132,4.09600019454956
132,Uganda,133,4.08099985122681
133,Burkina Faso,134,4.03200006484985
134,Niger,135,4.02799987792969
135,Malawi,136,3.97000002861023
136,Chad,137,3.9360001087188703
137,Zimbabwe,138,3.875
138,Lesotho,139,3.80800008773804
139,Angola,140,3.79500007629395
140,Afghanistan,141,3.7939999103546103
141,Botswana,142,3.7660000324249303
142,Benin,143,3.65700006484985
143,Madagascar,144,3.64400005340576
144,Haiti,145,3.6029999256133998
145,Yemen,146,3.59299993515015
146,South Sudan,147,3.5910000801086404
147,Liberia,148,3.5329999923706095
148,Guinea,149,3.50699996948242
149,Togo,150,3.4949998855590803
150,Rwanda,151,3.47099995613098
151,Syria,152,3.46199989318848
152,Tanzania,153,3.34899997711182
153,Burundi,154,2.90499997138977
154,Central African Republic,155,2.69300007820129
